1314,2518,0
1315,2519,0
53,276,2936
63,1809,2546
71,969,2280
75,1045,2070
77,1182,2057
83,900,1908
88,978,1840
101,976,1587
102,1143,1577
435,1771,102
480,1974,86
481,1593,86
482,1490,86
483,1168,86
484,682,86
485,1992,85
486,1291,85
490,1988,83
491,1567,83
493,766,82
495,716,82
496,556,82
497,1187,81
498,1365,81
499,1118,81
500,1993,81
501,460,80
502,1513,80
503,602,79
504,176,79
81,940,1945
507,730,78
509,801,76
511,418,76
512,1052,76
514,693,76
515,1481,75
516,1432,75
518,650,75
519,2043,74
520,814,74
521,990,73
522,2052,73
523,816,72
524,1144,72
525,1112,72
1,23,17586
2,26,15477
3,6,12935
11,529,7987
12,942,7272
4,639,12588
8,155,9778
7,57,10031
5,334,10528
9,8,9321
10,25,9042
6,66,10426
13,211,6955
14,1249,6843
20,261,5844
21,562,5597
31,90,4613
32,53,4605
35,35,4303
38,1158,3485
30,581,4627
15,16,6711
16,186,6697
39,314,3456
36,933,3855
33,771,4508
22,1199,5571
23,164,5246
40,75,3451
17,307,6536
41,1231,3358
42,1247,3305
18,491,6215
19,524,6155
24,1000,5185
43,355,3301
44,331,3239
25,98,5137
26,278,5104
46,1121,3178
47,952,3139
27,1041,4936
28,642,4917
48,1074,3105
29,103,4858
37,1087,3603
45,80,3236
55,530,2800
56,550,2765
57,713,2742
60,570,2618
61,992,2588
62,138,2558
49,1195,2986
34,109,4397
50,28,2963
51,1075,2959
84,24,1905
105,634,1525
72,321,2181
74,883,2073
58,1644,2716
78,753,2027
79,200,2013
80,677,1971
64,1364,2536
65,606,2529
66,915,2527
68,939,2429
94,265,1718
90,4,1806
526,1839,71
528,1765,71
529,1263,71
530,1620,70
532,1194,70
533,769,70
86,901,1897
534,2380,69
108,15,1496
109,189,1485
535,2094,68
536,780,68
537,711,67
538,1241,67
539,238,66
540,116,66
541,743,66
542,539,66
52,1681,2950
59,1756,2682
54,1329,2878
67,681,2508
82,1744,1942
85,1601,1898
69,1590,2375
70,705,2338
87,1055,1868
89,502,1809
73,1733,2163
76,1768,2059
96,820,1710
97,228,1685
98,1493,1677
99,1297,1672
100,837,1641
107,473,1502
110,1938,1428
111,375,1419
103,1240,1533
104,516,1529
112,971,1377
91,1642,1805
92,694,1775
106,944,1513
124,68,1253
125,1916,1227
93,1470,1729
95,1235,1714
113,198,1357
114,404,1351
115,1233,1330
128,807,1179
117,408,1314
119,714,1292
120,1378,1289
122,14,1266
123,896,1259
131,867,1127
132,929,1125
126,659,1211
127,560,1211
135,945,1066
136,1541,1059
137,235,1057
133,832,1076
134,1821,1076
129,2034,1165
152,759,909
139,1361,1008
140,1084,994
141,1907,985
155,1283,875
156,1189,870
157,1385,869
158,1787,862
159,737,861
160,100,852
151,1906,919
153,535,909
154,184,880
145,1566,963
146,1465,958
147,185,953
148,1014,951
149,1674,946
150,1389,938
164,543,784
165,434,781
167,1445,773
170,735,759
171,798,733
492,1442,82
543,2139,66
544,54,66
545,1174,65
546,604,65
548,1105,64
549,1763,64
551,2167,64
553,631,63
554,1204,63
555,1001,63
556,532,62
557,2070,62
558,632,61
559,1406,61
560,1048,61
116,1965,1324
118,1685,1310
138,1564,1025
142,1248,980
121,1956,1270
162,1730,805
143,1051,976
161,1504,826
179,303,669
184,30,615
185,1008,615
166,1375,780
168,1450,769
169,1104,766
172,1671,721
173,227,698
180,476,649
181,860,646
182,1130,626
183,2047,625
174,1459,696
188,1125,599
189,1304,597
193,1165,557
210,1640,489
211,894,480
212,1958,475
213,663,471
214,1102,467
215,440,464
175,1259,693
186,1425,614
218,1723,455
219,1290,452
187,1391,609
176,873,692
178,1751,673
206,678,510
209,1553,499
191,1612,582
192,1273,580
205,527,511
229,1282,421
199,86,528
194,1137,551
207,244,505
195,1438,548
196,311,546
197,1664,539
198,1533,532
200,247,528
201,611,527
203,890,518
204,1725,512
216,1603,457
217,875,457
235,112,401
220,2130,450
221,1180,444
222,305,439
223,390,437
224,565,431
225,1392,430
226,493,428
227,840,423
228,259,422
236,1148,401
230,272,421
231,1584,419
232,1379,413
233,67,407
234,439,402
240,628,392
241,347,387
244,548,373
246,1036,370
238,1095,395
242,1086,376
243,153,376
494,304,82
506,836,78
517,1779,75
562,1887,60
563,913,60
564,874,59
565,270,59
567,985,59
144,1562,965
202,293,521
237,551,397
251,436,339
252,1863,336
253,350,332
254,591,325
255,991,322
256,1954,321
239,810,395
247,2402,364
248,612,351
249,1571,344
250,1899,343
260,1634,303
261,809,299
262,1177,298
263,1475,297
316,320,215
264,1221,296
265,178,295
269,1322,287
271,2246,282
272,1094,279
273,1077,278
275,1295,275
278,644,270
257,1017,310
281,2051,264
258,1136,310
282,150,263
283,137,259
284,1419,259
285,1682,258
286,1258,256
290,1746,243
291,537,242
292,1878,241
293,1402,239
294,563,238
266,2000,292
301,1937,230
302,999,229
303,1757,227
306,199,225
308,492,222
309,1637,221
310,319,218
312,1202,217
276,704,272
315,1301,215
277,297,272
318,108,214
321,1206,209
322,1278,206
323,1355,204
279,854,268
280,1272,268
324,1542,202
326,405,198
287,653,255
329,2190,195
328,1489,196
331,723,189
333,1696,188
337,1526,182
297,472,234
298,1188,234
300,1667,232
305,126,226
313,1964,216
314,1531,216
332,218,188
334,151,188
335,571,183
569,1833,59
570,1486,59
571,981,57
749,750,18
754,1933,18
755,310,18
756,831,18
758,2230,17
759,930,17
760,1830,17
761,1060,17
762,1010,17
763,625,17
764,146,16
766,1940,16
769,1714,16
770,645,15
771,1766,15
772,857,15
773,949,15
774,1129,15
775,546,15
776,1397,14
259,2065,309
274,1013,277
295,2143,236
320,1587,210
325,523,199
330,1246,192
338,1799,181
288,2223,255
346,595,173
299,1536,232
350,1944,169
304,2096,226
352,1276,168
353,1758,167
354,842,166
355,1699,165
357,1807,164
358,1043,163
360,777,160
363,1804,158
368,441,153
369,1485,152
372,734,147
373,688,145
374,921,144
377,1648,142
378,1334,142
379,1253,141
380,1318,140
385,1784,138
391,275,135
392,709,133
396,664,130
397,435,129
398,2228,127
340,630,177
402,683,124
404,1076,123
405,1622,122
341,1324,177
415,2155,116
419,1829,115
421,1446,112
342,740,177
359,1264,163
393,1499,133
426,1122,109
427,250,109
351,2004,169
406,258,122
343,848,177
344,1843,177
345,2037,173
347,751,173
349,166,170
364,745,157
365,1508,157
375,327,143
376,575,143
505,1093,78
381,171,140
382,2177,140
383,1265,139
384,902,139
386,1979,137
387,633,137
388,1377,137
394,425,132
395,474,132
399,2098,126
400,828,126
403,1921,124
407,1268,121
408,1643,121
409,573,120
410,1447,120
411,533,120
414,374,117
416,549,115
420,1140,115
424,1817,110
425,1271,110
428,461,107
429,904,107
431,2393,107
779,205,14
780,1881,14
853,1583,3
862,505,3
892,2279,0
900,1491,0
941,2517,0
296,1917,234
307,578,224
317,2048,215
366,1742,156
423,1117,111
433,959,105
434,1623,103
436,1722,101
437,1545,100
440,1038,99
444,1443,97
445,1713,96
446,1058,95
348,1918,170
447,1512,95
448,484,95
362,1357,160
472,1032,90
418,1677,115
469,1663,91
438,1410,99
441,720,99
442,1743,98
443,1227,98
449,974,94
450,1544,94
451,1463,93
453,1089,93
454,1927,93
455,1550,93
456,1462,92
458,1128,92
459,1011,92
460,1961,92
461,724,92
462,1487,92
468,756,91
470,1910,91
471,519,90
473,2110,90
474,1427,89
475,1686,89
476,868,87
477,336,87
478,1350,87
479,1870,87
270,2313,284
487,1585,84
422,1371,112
572,136,57
413,1448,117
584,2131,54
513,1242,76
552,1874,63
594,1534,51
595,583,51
599,1092,50
600,955,49
601,772,48
566,1502,59
602,1570,48
603,1430,47
573,1079,56
618,266,45
622,1049,44
625,424,43
624,1786,43
574,1971,56
626,615,42
627,2097,41
628,1819,40
575,2058,55
576,1895,55
649,648,38
648,1363,38
577,2236,55
666,326,34
578,758,55
579,1309,55
580,1507,55
581,561,54
582,956,54
583,1039,54
585,131,53
587,988,53
660,657,35
588,2021,53
589,934,53
590,494,52
592,1683,52
593,1407,52
597,2133,50
598,637,50
605,2181,47
607,1351,47
608,1801,46
609,1875,46
610,231,46
611,706,46
613,675,46
614,322,46
616,2328,45
619,1067,45
620,1977,44
623,313,44
629,1711,40
630,1033,40
631,1872,40
632,1229,40
633,616,40
635,1551,40
636,431,40
638,2324,40
639,2053,40
641,1604,40
643,1896,39
644,1376,39
645,579,39
647,654,39
651,1031,37
652,965,37
653,1905,37
655,849,36
657,995,36
658,673,36
659,1327,36
661,1981,35
662,1500,35
401,2349,124
665,1535,34
667,752,33
508,1837,76
668,1340,33
698,640,30
550,2394,64
656,1185,36
663,1366,34
664,1018,34
695,1935,31
720,1003,25
725,2071,24
670,719,32
671,2362,32
735,1420,22
737,1814,21
740,294,20
748,1738,19
673,2352,32
675,1488,32
678,2231,32
679,1611,32
682,1828,32
683,1262,32
684,1655,32
688,1931,32
689,1963,32
690,946,32
691,1739,32
692,1731,32
693,400,32
694,643,31
697,402,30
699,2001,30
700,924,29
701,1721,29
703,1501,27
704,684,27
705,1838,27
706,1326,27
707,1858,26
708,2137,26
709,876,26
710,847,26
711,1614,26
712,453,26
713,277,26
714,201,26
715,1210,26
716,1530,26
718,1498,25
719,1975,25
721,2179,24
723,1178,24
724,1516,24
726,105,24
727,1902,24
728,2114,23
729,2036,23
730,2015,23
731,768,23
732,1909,22
733,1002,22
734,1082,22
736,1639,21
738,118,21
742,117,20
743,1396,20
744,1119,20
745,812,19
746,82,19
