1185,2517,0
1224,2507,0
1314,2518,0
1315,2519,0
1084,2510,0
997,2472,0
1032,2458,0
1095,1831,0
1098,2203,0
1099,620,0
1112,2491,0
1113,2437,0
1114,2082,0
1115,2187,0
1117,1250,0
1130,2456,0
346,2468,276
737,2480,39
1196,2496,0
1203,2470,0
1254,2495,0
342,1272,282
343,1997,280
1,23,68319
2,6,59713
3,639,58657
4,26,44868
5,334,35016
8,1041,27828
344,1961,277
345,704,277
6,155,31873
7,942,31843
10,524,25677
9,8,27400
12,491,23842
13,66,22339
14,529,22071
15,1249,21477
20,1590,18012
22,57,17334
353,854,268
444,270,165
445,1804,165
450,1648,162
449,1264,163
18,933,18385
19,307,18216
11,16,25066
16,103,19753
17,53,19088
347,688,273
350,126,269
351,1833,268
446,1699,165
448,1076,163
452,1377,160
454,1409,158
544,539,95
549,974,94
552,1089,93
554,609,92
556,724,92
558,1326,91
559,1056,91
560,2110,90
561,1166,90
562,1032,90
566,1686,89
569,1112,87
570,1050,87
662,1971,56
550,1550,93
665,1294,56
740,654,39
741,105,39
551,1927,93
758,1500,35
1124,2300,0
1126,2499,0
564,1427,89
565,1291,89
744,1363,38
567,758,88
749,1031,37
745,648,38
761,1210,34
583,2394,84
763,752,33
760,1366,34
764,781,33
765,1305,33
768,400,32
770,2318,32
771,1010,32
772,499,32
776,1963,32
778,643,31
780,316,31
762,1535,34
721,2476,44
746,1902,37
750,1905,37
752,673,36
753,1327,36
754,1876,36
756,1656,36
759,1611,35
774,2460,32
1035,2186,0
1049,2508,0
1050,1939,0
1051,1991,0
1053,1302,0
1054,727,0
1055,1528,0
1056,2428,0
1058,130,0
1059,1317,0
1060,240,0
1061,1153,0
1062,2467,0
1064,1081,0
1067,1982,0
1069,2283,0
1071,962,0
1073,1661,0
1074,2502,0
1082,1191,0
1087,2447,0
1088,1676,0
748,1002,37
755,849,36
757,995,36
1031,2514,0
1043,2142,0
1104,2509,0
1109,2512,0
1119,996,0
1121,2399,0
1123,910,0
1135,2452,0
1136,1897,0
1143,1582,0
1145,2503,0
1147,2479,0
1156,1120,0
1162,2206,0
1163,1920,0
1164,1578,0
1165,1741,0
1169,2150,0
1171,2251,0
1172,2515,0
1175,1348,0
1186,2397,0
1189,2254,0
1191,2439,0
1193,437,0
21,278,17588
23,211,17273
24,98,16800
31,261,14689
32,1231,14618
35,1000,13387
36,562,13307
37,939,12915
25,25,16293
26,109,16096
27,771,15514
30,992,14924
38,642,12715
39,164,12350
40,1087,12181
41,1199,12118
42,186,11610
43,35,11283
48,606,10065
28,1744,15480
29,1121,15425
33,314,13928
34,581,13882
44,1681,11108
45,550,10850
46,1247,10736
47,1074,10704
49,1045,9980
50,1644,9938
51,1195,9430
52,90,9147
53,837,9099
54,1235,9012
55,952,8665
56,1364,8419
110,940,3582
123,1782,3046
124,1533,2936
223,894,857
224,244,849
226,67,823
117,1965,3232
120,321,3183
121,1685,3100
122,440,3070
216,1742,978
222,1910,868
237,1180,763
232,543,796
127,473,2836
125,1470,2868
126,1541,2863
218,227,941
219,591,917
220,1251,895
336,1604,288
143,929,2236
208,1283,1081
59,80,7589
230,1445,805
118,1137,3226
340,1295,285
341,297,284
129,4,2807
233,178,781
320,1757,330
337,1322,287
338,137,287
70,713,5913
57,1493,7791
62,1158,6946
71,1938,5887
61,1075,7510
94,1297,4278
72,68,5882
58,530,7628
75,883,5558
76,1182,5325
78,1329,5225
77,200,5313
67,705,6387
68,355,6377
74,1768,5728
63,681,6894
64,896,6893
65,1756,6660
66,331,6541
81,276,5087
82,737,5085
93,915,4369
83,714,5014
84,1642,4978
87,2047,4705
73,820,5879
88,1055,4693
60,1809,7586
69,24,6157
86,502,4713
80,753,5126
85,900,4723
98,1733,3980
79,1233,5133
89,969,4648
90,1361,4575
91,75,4563
107,228,3697
100,1378,3936
92,138,4417
115,971,3272
116,832,3263
106,1566,3719
101,235,3933
95,1143,4194
96,28,3996
97,976,3986
104,634,3879
105,978,3831
113,516,3367
114,375,3358
108,944,3626
109,1821,3607
111,1601,3486
112,890,3387
102,677,3931
103,15,3915
119,570,3220
130,659,2806
99,2034,3953
128,1956,2825
132,1504,2727
139,320,2510
138,1290,2542
144,404,2192
145,1465,2164
146,1084,2137
147,265,2120
133,560,2711
134,198,2675
135,1564,2663
148,1240,2084
140,434,2489
149,303,2074
150,247,2059
141,535,2418
142,901,2276
136,694,2648
137,408,2609
152,1512,1964
151,1130,1973
153,1389,1963
154,1883,1940
157,2115,1920
158,1248,1919
159,1916,1917
167,184,1743
168,1906,1713
160,1682,1889
169,809,1685
161,1612,1886
184,1799,1443
185,1189,1435
188,1051,1362
172,1104,1576
173,735,1557
174,1640,1520
189,945,1331
155,1907,1933
156,1459,1933
162,1671,1876
163,1450,1842
198,185,1180
164,189,1826
165,1375,1772
170,1259,1623
171,867,1617
205,100,1112
206,350,1100
207,1730,1097
175,1282,1519
177,1674,1499
178,293,1490
203,527,1135
180,1553,1484
181,1562,1483
182,807,1473
183,873,1465
186,798,1388
187,14,1387
190,2246,1330
191,611,1321
192,759,1309
193,663,1302
194,1165,1268
197,628,1215
195,1008,1261
199,1899,1178
200,476,1165
201,1086,1163
202,1014,1146
196,1385,1215
209,551,1076
210,153,1042
211,1723,1026
212,1787,1017
213,1751,1014
214,1725,1003
215,1603,994
217,1958,977
225,1746,832
221,653,874
238,1419,753
239,1425,730
229,1391,812
240,678,722
241,1095,718
242,612,706
234,1634,781
245,860,678
246,1304,673
249,1125,657
250,1664,640
251,311,632
235,1964,769
236,1724,766
243,1273,698
244,1584,698
253,30,615
254,1281,602
255,1438,591
256,537,590
257,493,586
247,1392,672
258,1878,579
260,272,561
261,1551,552
262,86,543
263,523,541
264,1701,538
265,840,524
266,1077,514
267,706,505
299,347,387
268,565,492
269,1379,489
270,991,489
271,1637,482
272,436,478
275,2155,474
276,548,472
277,305,471
278,777,470
279,1102,467
280,390,465
281,1713,461
282,439,458
284,1148,453
285,259,450
286,112,447
290,1462,424
291,1043,420
292,810,408
294,1013,402
273,875,476
295,1739,397
296,1177,395
297,1036,389
298,2051,387
300,2031,384
302,150,380
303,2137,376
304,774,376
305,1262,370
306,319,367
308,1571,364
309,1271,363
307,549,367
323,2037,310
327,1475,300
331,1508,297
315,1017,344
332,1221,296
317,1534,339
318,985,338
319,1136,334
321,1410,317
322,101,311
324,1807,304
325,1324,304
328,1094,299
329,1258,299
1150,2505,0
166,2130,1762
176,1954,1512
335,1819,288
274,2156,476
293,1569,405
312,1917,349
339,1536,287
348,1587,272
349,644,270
354,848,261
357,258,258
358,740,257
360,2143,255
361,1620,254
362,1487,252
363,1763,251
364,1371,242
372,1921,237
316,2000,340
376,472,234
378,1188,234
371,563,238
375,1355,236
377,1931,234
352,578,268
379,1667,232
380,1874,231
381,1663,230
382,999,229
383,1542,227
385,1843,226
386,199,225
387,492,222
394,108,215
355,1432,259
399,1206,209
356,1922,259
403,1386,205
404,425,204
406,250,201
366,780,239
367,1700,239
368,1301,239
369,431,239
370,1402,239
373,2004,237
421,709,190
423,723,189
388,1828,218
389,828,218
390,1202,217
391,955,217
392,1526,216
393,1531,216
397,631,210
398,1334,210
433,751,182
400,1122,206
401,1704,206
402,1278,206
407,405,198
417,441,193
418,1246,192
409,166,198
422,571,189
410,734,197
424,1318,188
426,151,188
427,1696,188
411,1758,197
412,1944,197
431,683,183
414,1489,196
434,868,179
436,630,177
437,1085,175
438,2071,174
439,595,173
440,902,168
441,1276,168
415,1080,196
425,1242,188
428,218,188
429,745,185
442,1446,166
443,842,166
204,1995,1115
252,2065,622
231,2048,798
283,2223,454
310,2043,362
416,1918,195
432,2228,182
435,1879,178
447,1677,164
455,374,157
457,921,156
458,1567,155
459,2036,154
430,1448,185
465,1731,144
466,1481,144
456,1447,157
462,1485,152
463,1265,151
464,444,148
460,949,152
461,1781,152
480,1784,138
481,1979,137
475,1268,141
467,327,143
490,1227,128
470,633,142
468,575,143
471,664,142
474,1253,141
476,1771,140
477,772,140
478,171,140
483,275,135
500,959,121
484,2131,135
504,602,120
505,1011,119
485,1499,133
488,435,129
508,1140,115
509,1658,114
489,816,129
513,1817,110
492,2098,126
493,2017,126
494,1128,124
529,1722,101
506,1285,119
496,1622,122
497,1870,122
532,1545,100
498,769,121
499,1643,121
501,533,120
502,573,120
503,786,120
511,1117,111
512,657,111
515,2217,108
517,1839,107
519,2393,107
520,336,107
521,461,107
522,904,107
523,2245,106
524,1623,106
525,720,106
526,1463,105
527,1765,103
530,1365,101
533,756,100
535,1038,99
537,1743,98
538,519,97
548,1544,94
540,1443,97
541,2056,97
542,1585,96
545,1484,95
546,1058,95
227,1863,822
131,2136,2792
179,2145,1486
301,2026,383
326,1357,301
573,1593,86
330,1618,298
365,1829,241
384,2024,227
420,2069,190
596,460,80
313,2345,349
314,2313,345
575,1490,86
578,2093,85
607,418,76
611,1779,75
612,650,75
598,946,79
451,2100,162
473,2070,141
534,2205,99
623,1129,69
628,2094,68
536,1981,99
629,1406,68
543,484,95
571,478,87
630,1241,67
617,1144,72
572,1350,87
576,1168,86
577,682,86
602,1263,78
580,1992,85
582,1638,84
584,1988,83
585,2148,82
586,304,82
587,1442,82
588,766,82
613,814,74
614,2441,73
615,990,73
616,2052,73
647,1048,61
589,716,82
618,1962,72
590,556,82
591,1187,81
592,1993,81
594,1118,81
595,503,80
597,1513,80
599,176,79
600,1625,79
603,1093,78
604,836,78
606,801,76
641,2167,64
609,1052,76
642,1105,64
645,532,62
610,693,76
661,981,57
619,579,71
622,1194,70
627,1711,68
631,1174,67
632,711,67
633,238,66
634,116,66
635,2139,66
636,54,66
637,1895,66
638,743,66
640,604,65
643,1204,63
644,1001,63
646,494,61
648,632,61
650,913,60
651,1245,60
652,1887,60
654,1502,59
655,874,59
656,1486,59
657,1975,59
287,2232,433
453,2349,160
228,2177,814
288,2160,430
311,2168,358
660,136,57
334,2200,290
472,899,142
491,2277,127
486,2132,133
574,1974,86
516,2406,108
659,2125,58
601,730,78
621,2413,70
664,1079,56
666,1185,56
667,1390,56
669,2236,55
670,1600,55
672,1507,55
673,1033,55
674,1309,55
681,131,53
677,1351,54
680,934,53
675,1039,54
682,988,53
691,1092,50
683,2185,52
684,1683,52
693,1018,49
685,1407,52
687,598,51
689,583,51
690,1488,50
692,637,50
694,1570,48
709,1801,46
711,407,46
695,1705,48
696,313,47
697,2324,47
698,1373,47
700,1430,47
702,1159,47
723,1049,44
704,795,47
706,1875,46
707,675,46
710,231,46
712,322,46
714,1702,45
715,2328,45
713,1340,45
726,424,43
727,1655,43
728,1786,43
730,615,42
678,561,54
735,616,40
716,1067,45
718,266,45
732,1435,41
720,719,44
724,1977,44
725,326,44
733,1872,40
736,1229,40
738,1376,39
742,1896,39
248,2189,670
259,2096,577
333,2234,292
359,2107,256
395,2190,215
608,1837,76
405,2227,203
624,2380,69
487,474,132
374,1937,237
413,2255,196
528,1884,102
593,1972,81
605,2231,76
639,1423,65
788,1396,29
671,2058,55
679,2021,53
686,2133,51
